country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,male,30,4,1,1,5,2,2.0,6,6,1.0,7.0,26
Brazil,male,29,3,0,0,5,3,2.0,3,6,1.4444444444444444,5.333333333333333,26
Brazil,male,40,15,1,2,5,3,2.0,4,4,1.0,4.0,25
Brazil,male,24,8,0,0,4,2,2.0,4,5,1.0,1.6666666666666667,16
Brazil,male,31,5,1,1,5,2,2.0,7,1,1.1111111111111112,5.0,26
Brazil,female,34,4,1,1,4,2,2.0,6,7,1.0,7.0,30
Brazil,female,58,32,2,2,5,1,2.0,5,3,1.4444444444444444,6.0,26
Brazil,female,50,17,0,0,5,2,2.0,5,3,1.0,7.0,33
Brazil,male,24,2,0,0,5,3,2.0,6,1,1.0,7.0,22
Brazil,male,33,7,1,1,5,3,2.0,5,3,1.5555555555555556,5.0,26
Brazil,male,34,6,1,1,5,3,2.0,4,2,1.0,7.0,28
Brazil,male,50,16,1,0,4,2,2.0,3,6,1.0,6.0,34
Brazil,female,42,16,1,0,5,2,2.0,2,7,1.1111111111111112,7.0,26
Brazil,female,31,5,1,1,5,2,2.0,4,4,1.5555555555555556,5.0,26
Brazil,male,32,16,2,2,5,3,2.0,6,1,1.1111111111111112,7.0,16
Brazil,male,23,1,0,0,4,3,2.0,5,5,1.4444444444444444,4.0,22
Brazil,male,24,4,1,1,4,3,2.0,4,3,1.0,6.0,20
Brazil,female,31,7,1,1,5,2,2.0,3,2,1.8888888888888888,5.0,24
Brazil,female,38,16,2,2,5,3,2.0,3,3,1.4444444444444444,7.0,22
Brazil,female,34,9,2,2,5,3,2.0,4,6,1.2222222222222223,6.666666666666667,25
Brazil,male,30,9,1,1,4,2,2.0,4,2,1.8888888888888888,4.666666666666667,21
Brazil,male,25,4,1,1,4,3,2.0,5,6,3.2222222222222223,3.0,21
Brazil,female,22,2,0,0,5,3,2.0,6,2,1.0,7.0,20
Brazil,female,29,0,0,0,5,3,2.0,4,6,1.3333333333333333,6.333333333333333,29
Brazil,male,53,27,2,1,4,3,2.0,5,3,1.1111111111111112,6.666666666666667,26
Brazil,female,48,27,2,1,5,3,2.0,4,1,1.4444444444444444,7.0,21
Brazil,female,42,23,3,3,5,2,2.0,5,6,1.0,6.666666666666667,19
Brazil,female,29,8,1,1,5,2,2.0,5,2,1.2222222222222223,5.666666666666667,21
Brazil,female,31,0,0,0,5,4,2.0,3,1,1.0,5.333333333333333,31
Brazil,male,42,26,2,0,5,2,2.0,4,7,1.2222222222222223,6.0,16
Brazil,female,29,10,2,2,5,2,2.0,3,5,1.0,7.0,19
Brazil,male,30,1,0,0,5,3,2.0,5,4,1.4444444444444444,6.0,29
Brazil,female,26,2,0,0,5,2,4.0,3,3,1.2222222222222223,5.333333333333333,24
Brazil,male,40,12,0,0,5,2,4.0,4,6,1.2222222222222223,4.0,28
Brazil,female,33,4,1,0,5,2,4.0,2,1,2.111111111111111,5.0,29
Brazil,male,30,3,0,0,5,2,4.0,2,6,1.0,6.333333333333333,27
Brazil,male,36,2,0,0,5,2,4.0,2,2,1.0,7.0,34
Brazil,female,50,26,2,2,5,1,4.0,1,6,1.5555555555555556,4.666666666666667,24
Brazil,female,24,1,0,0,5,2,4.0,4,4,1.0,6.0,23
Brazil,male,47,19,1,1,5,1,4.0,2,7,2.3333333333333335,3.3333333333333335,28
